name,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,rock_era
"The Orchestra Tubular Bells Part 1 ""The Exorcist"" - Live At Sumida Triphony Hall / 2006",Johann Sebastian Bach,2020,0.42,0.14,0.24,0.93,0.12,0.88,0.36,0.3,0.38,0.07,0.48,4,0.09,Modern Rock
War,Edwin Starr,1970,0.13,0.75,0.6,0.09,0.67,0,0.09,0.24,0.59,0.28,0.5,4,0.74,Old Rock
Young Blood,The Naked And Famous,2010,0.16,0.8,0.59,0,0.87,0,0.55,0.65,0.81,0.05,0.48,4,0.36,Modern Rock
Weight of the World,Black Rebel Motorcycle Club,2005,0.15,0.33,0.44,0.03,0.64,0,0.45,0.07,0.71,0.05,0.78,4,0.65,Modern Rock
Alpha And Omega,Boards of Canada,2002,0.29,0.43,0.49,0.31,0.9,0.93,0.91,0.93,0.67,0.24,0.9,4,0.13,Modern Rock
All In Love Is Fair,Stevie Wonder,1973,0.15,0.56,0.49,0.8,0.34,0,0.09,0.16,0.6,0.05,0.61,4,0.11,Old Rock
Little Bitty Pretty One,Various Artists,2011,0.09,0.56,0.77,0.5,0.42,0,0.73,0.05,0.57,0.38,0.41,4,0.89,Modern Rock
Not Even Stevie Nicksâ€¦,Calexico,2003,0.11,0.21,0.53,0.89,0.39,0.08,0.82,0.09,0.69,0.07,0.61,4,0.19,Modern Rock
Dancing Fool,Frank Zappa,2016,0.15,0.29,0.57,0.38,0.64,0,0.82,0.52,0.67,0.23,0.61,4,0.54,Modern Rock
"10,000 Lovers (In One)",TNT,1987,0.11,0.49,0.46,0.07,0.8,0,0.09,0.63,0.61,0.16,0.5,4,0.51,Sweet Rock
Let's Have A Party,Wanda Jackson,2002,0.08,0.62,0.53,0.54,0.9,0,0.36,0.17,0.7,0.09,0.77,4,0.93,Modern Rock
Earth Song,Michael Jackson,1995,0.28,0.76,0.51,0.48,0.44,0,0.27,0.08,0.73,0.06,0.64,4,0.15,Sweet Rock
The Jessica Numbers,The New Pornographers,2005,0.12,0.26,0.61,0.13,0.93,0.2,0.82,0.34,0.84,0.09,0.57,3,0.7,Modern Rock
You Look So Fine,Garbage,1998,0.22,0.39,0.57,0.14,0.63,0.02,0.36,0.07,0.68,0.04,0.48,4,0.37,Sweet Rock
Do You See What I See?,Hunters & Collectors,1987,0.14,0.65,0.43,0,0.97,0,0.18,0.22,0.88,0.09,0.71,4,0.62,Sweet Rock
Water's Edge,Seven Mary Three,1995,0.15,0.62,0.61,0,0.68,0,0.36,0.09,0.74,0.06,0.54,4,0.33,Sweet Rock
Games Without Frontiers,Peter Gabriel,1980,0.17,0.58,0.74,0.35,0.72,0,0.55,0.12,0.67,0.09,0.44,4,0.93,Old Rock
Something in Your Mouth,Nickelback,2008,0.15,0.75,0.67,0,0.98,0,0,0.16,0.86,0.1,0.6,4,0.75,Modern Rock
Still The Same,Bob Seger,1978,0.13,0.74,0.72,0.41,0.77,0,0,0.05,0.75,0.05,0.53,4,0.56,Old Rock
Saturday Night Special,Lynyrd Skynyrd,1975,0.21,0.65,0.57,0.01,0.56,0,0.82,0.26,0.62,0.1,0.56,4,0.62,Old Rock
Hand in Glove - 2011 Remaster,The Smiths,1984,0.13,0.62,0.45,0,0.89,0,0,0.28,0.74,0.06,0.65,4,0.92,Sweet Rock
"I Want You, I Need You, I Love You",Elvis Presley,1958,0.1,0.62,0.45,0.88,0.33,0,0,0.3,0.62,0.05,0.36,4,0.73,Old Rock
