name,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,rock_era
Smells Like Teen Spirit,Nirvana,1991,0.2,0.88,0.51,0,0.91,0,0.09,0.1,0.81,0.1,0.54,4,0.73,Sweet Rock
Stairway to Heaven - Remaster,Led Zeppelin,1971,0.33,0.93,0.34,0.58,0.34,0,0.82,0.11,0.6,0.06,0.38,4,0.2,Old Rock
Bohemian Rhapsody - Remastered 2011,Queen,1975,0.24,0.88,0.4,0.29,0.4,0,0,0.23,0.66,0.1,0.66,4,0.23,Old Rock
Imagine - Remastered 2010,John Lennon,1971,0.12,0.92,0.55,0.91,0.25,0.18,0,0.08,0.59,0.05,0.35,4,0.17,Old Rock
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,0.15,0.92,0.73,0.04,0.86,0.03,0.18,0.12,0.72,0.06,0.63,4,0.94,Old Rock
Hotel California - 2013 Remaster,Eagles,1976,0.27,0.99,0.59,0.01,0.51,0,0.18,0.05,0.67,0.05,0.68,4,0.62,Old Rock
Enter Sandman,Metallica,1991,0.22,0.88,0.59,0,0.82,0.01,0.55,0.05,0.69,0.05,0.57,4,0.64,Sweet Rock
Whole Lotta Love - 1990 Remaster,Led Zeppelin,1969,0.23,0.92,0.42,0.05,0.9,0.13,0.82,0.4,0.61,0.74,0.41,4,0.43,Old Rock
Comfortably Numb,Pink Floyd,1979,0.26,0.88,0.48,0.15,0.36,0.31,1,0.07,0.58,0.05,0.58,4,0.17,Old Rock
One,U2,1991,0.19,0.9,0.4,0.25,0.53,0,0,0.14,0.69,0.07,0.83,4,0.33,Sweet Rock
Born to Run,Bruce Springsteen,1975,0.18,0.87,0.27,0.01,0.95,0,0.36,0.11,0.82,0.18,0.67,4,0.61,Old Rock
Smoke on the Water,Deep Purple,1972,0.23,0.76,0.64,0.1,0.59,0.59,0,0.04,0.62,0.05,0.52,4,0.9,Old Rock
Hey Jude - Remastered 2015,The Beatles,2000,0.29,0.9,0.39,0.01,0.61,0,0.91,0.08,0.72,0.05,0.68,4,0.54,Sweet Rock
Paranoid - 2012 - Remaster,Black Sabbath,1970,0.11,0.82,0.42,0,0.66,0,0.36,0.17,0.6,0.13,0.75,4,0.46,Old Rock
Seven Nation Army,The White Stripes,2003,0.15,0.77,0.74,0.01,0.46,0.45,0,0.25,0.72,0.15,0.57,4,0.32,Modern Rock
Free Bird,Lynyrd Skynyrd,1973,0.37,0.85,0.25,0.07,0.84,0,0,0.08,0.71,0.1,0.54,4,0.34,Old Rock
Back In Black,AC/DC,1980,0.17,1,0.31,0.01,0.7,0.01,0.82,0.07,0.78,0.09,0.86,4,0.77,Old Rock
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,1968,0.26,0.89,0.71,0.52,0.67,0,0.82,0.05,0.68,0.39,0.53,4,0.57,Old Rock
Wish You Were Here,Pink Floyd,1975,0.23,0.92,0.49,0.74,0.26,0.01,0.64,0.83,0.49,0.08,0.56,4,0.38,Old Rock
With Or Without You - Remastered,U2,1987,0.2,0.94,0.55,0,0.43,0.36,0.18,0.13,0.6,0.05,0.51,4,0.11,Sweet Rock
Sweet Child O' Mine,Guns N' Roses,1987,0.24,0.96,0.46,0.09,0.91,0.1,0.55,0.11,0.72,0.08,0.57,4,0.64,Sweet Rock
I Still Haven't Found What I'm Looking For,U2,1987,0.19,0.93,0.57,0.01,0.77,0,0.09,0.08,0.67,0.07,0.46,4,0.66,Sweet Rock
Like a Rolling Stone,Bob Dylan,1965,0.25,0.88,0.49,0.73,0.72,0,0,0.18,0.75,0.06,0.44,4,0.57,Old Rock
All Along the Watchtower,Jimi Hendrix,1968,0.16,0.93,0.44,0,0.81,0,0.73,0.07,0.77,0.11,0.52,4,0.57,Old Rock
Under the Bridge,Red Hot Chili Peppers,1991,0.18,0.96,0.57,0.06,0.34,0,0.36,0.13,0.56,0.08,0.39,4,0.46,Sweet Rock
Creep,Radiohead,1993,0.16,0.98,0.52,0.01,0.43,0,0.64,0.12,0.66,0.07,0.42,4,0.11,Sweet Rock
Kashmir - 1990 Remaster,Led Zeppelin,1975,0.35,0.82,0.49,0.49,0.54,0,0.18,0.14,0.62,0.08,0.37,3,0.59,Old Rock
Light My Fire,The Doors,1967,0.29,0.87,0.42,0.37,0.73,0,0.27,0.08,0.78,0.06,0.57,4,0.44,Old Rock
My Generation - Stereo Version,The Who,1965,0.13,0.81,0.42,0.31,0.78,0.01,0.18,0.07,0.68,0.11,0.44,4,0.71,Old Rock
More Than a Feeling,Boston,1976,0.19,0.94,0.38,0,0.68,0,0.64,0.04,0.71,0.05,0.5,4,0.29,Old Rock
"Another Brick in the Wall, Pt. 2",Pink Floyd,1979,0.16,0.9,0.7,0.08,0.39,0,0,0.24,0.49,0.08,0.48,4,0.73,Old Rock
Layla,Derek & The Dominos,1970,0.29,0.88,0.41,0.58,0.9,0.3,0.09,0.28,0.83,0.12,0.53,4,0.5,Old Rock
Gimme Shelter,The Rolling Stones,1969,0.18,0.89,0.64,0.45,0.63,0.04,0.09,0.16,0.71,0.06,0.54,4,0.49,Old Rock
You Shook Me All Night Long,AC/DC,1980,0.14,0.95,0.54,0,0.77,0,0.64,0.38,0.79,0.1,0.58,4,0.76,Old Rock
Alive,Pearl Jam,1991,0.23,0.89,0.29,0.01,0.88,0,1,0.4,0.77,0.08,0.34,4,0.6,Sweet Rock
Won't Get Fooled Again - Original Album Version,The Who,1971,0.35,0.76,0.7,0.3,0.92,0.27,0.18,0.07,0.77,0.1,0.62,4,0.23,Old Rock
London Calling - Remastered,The Clash,1979,0.13,0.87,0.66,0.12,0.8,0,0,0.07,0.73,0.09,0.61,4,0.78,Old Rock
Come As You Are,Nirvana,1991,0.15,0.86,0.51,0,0.82,0,0.36,0.08,0.78,0.07,0.55,4,0.54,Sweet Rock
Purple Haze,Jimi Hendrix,1967,0.11,0.86,0.54,0.01,0.91,0.58,0.18,0.06,0.79,0.14,0.5,4,0.49,Old Rock
Pride (In The Name Of Love) - Remastered 2009,U2,1984,0.15,0.7,0.46,0,0.84,0,0.36,0.78,0.74,0.06,0.49,4,0.72,Sweet Rock
Dream On,Aerosmith,1973,0.18,0.94,0.31,0.39,0.43,0,0.09,0.32,0.66,0.05,0.74,4,0.23,Old Rock
Sunday Bloody Sunday - Remastered 2008,U2,1983,0.19,0.85,0.55,0.4,0.95,0,0.55,0.03,0.73,0.1,0.46,4,0.74,Sweet Rock
Rock and Roll - Remaster,Led Zeppelin,1971,0.15,0.8,0.32,0,0.89,0,0.82,0.08,0.73,0.07,0.78,4,0.88,Old Rock
In My Life - Remastered 2009,The Beatles,1965,0.1,0.87,0.7,0.45,0.43,0,0.82,0.1,0.62,0.06,0.47,4,0.44,Old Rock
Let It Be - Remastered 2009,The Beatles,1970,0.16,0.93,0.45,0.63,0.4,0,0,0.1,0.7,0.06,0.66,4,0.41,Old Rock
Baba O'Riley,The Who,1971,0.2,0.92,0.5,0.31,0.72,0.19,0.45,0.28,0.7,0.06,0.54,4,0.15,Old Rock
Jeremy,Pearl Jam,1991,0.21,0.86,0.29,0.04,0.85,0,0.18,0.17,0.76,0.08,0.5,4,0.29,Sweet Rock
Welcome To The Jungle,Guns N' Roses,1987,0.18,0.93,0.45,0.02,0.96,0.41,0.73,0.29,0.71,0.14,0.57,4,0.33,Sweet Rock
Bitter Sweet Symphony,The Verve,1997,0.24,0.93,0.36,0.03,0.92,0,0.82,0.4,0.77,0.09,0.79,4,0.52,Sweet Rock
Roxanne,The Police,1978,0.13,0.9,0.63,0.04,0.75,0,0,0.04,0.69,0.65,0.62,4,0.67,Old Rock
Money,Pink Floyd,1973,0.26,0.86,0.48,0.02,0.54,0,0.82,0.26,0.65,0.28,0.57,1,0.79,Old Rock
Every Breath You Take - Remastered 2003,The Police,1983,0.17,0.04,0.82,0.56,0.46,0.01,0.09,0.06,0.66,0.06,0.54,4,0.74,Sweet Rock
A Day In The Life - Remastered 2009,The Beatles,1967,0.23,0.79,0.37,0.29,0.46,0,0.36,0.92,0.54,0.12,0.75,4,0.18,Old Rock
Sweet Emotion,Aerosmith,1975,0.18,0.89,0.39,0,0.76,0.03,0.82,0.09,0.63,0.07,0.46,4,0.5,Old Rock
Born To Be Wild - Single Version,Steppenwolf,1968,0.14,0.81,0.44,0.26,0.73,0.34,0.18,0.24,0.6,0.18,0.67,4,0.55,Old Rock
New Year's Day - Single Edit - Remastered,U2,1983,0.16,0.68,0.54,0,0.78,0.01,0.36,0.31,0.75,0.06,0.61,4,0.58,Sweet Rock
"Paint It, Black",The Rolling Stones,1966,0.13,0.93,0.47,0.05,0.8,0,0.09,0.39,0.68,0.17,0.73,4,0.62,Old Rock
Black Dog - Remaster,Led Zeppelin,1971,0.2,0.86,0.44,0.4,0.87,0.03,0.36,0.23,0.72,0.16,0.37,4,0.76,Old Rock
Basket Case,Green Day,1994,0.12,0.94,0.45,0,0.94,0,0.27,0.08,0.85,0.11,0.39,4,0.79,Sweet Rock
November Rain,Guns N' Roses,1991,0.37,0.95,0.3,0.02,0.64,0.22,1,0.1,0.68,0.05,0.37,4,0.23,Sweet Rock
Even Flow,Pearl Jam,1991,0.2,0.89,0.4,0,0.95,0,0.91,0.29,0.76,0.14,0.48,4,0.27,Sweet Rock
You Can't Always Get What You Want,The Rolling Stones,1969,0.31,0.8,0.32,0.64,0.62,0,0,0.24,0.67,0.11,0.4,4,0.48,Old Rock
Money for Nothing,Dire Straits,1985,0.35,0.74,0.68,0.05,0.65,0,0.18,0.05,0.68,0.07,0.62,4,0.66,Sweet Rock
Nothing Else Matters,Metallica,1991,0.26,0.82,0.57,0.05,0.36,0,0.36,0.06,0.62,0.05,0.65,3,0.17,Sweet Rock
Everlong,Foo Fighters,1997,0.17,0.93,0.42,0,0.88,0,1,0.07,0.79,0.07,0.73,4,0.37,Sweet Rock
Angie,The Rolling Stones,1973,0.18,0.87,0.43,0.67,0.55,0,0.82,0.09,0.77,0.05,0.63,4,0.41,Old Rock
Jump - 2015 Remaster,Van Halen,1984,0.16,0.94,0.58,0.17,0.84,0,0,0.06,0.77,0.06,0.6,4,0.8,Sweet Rock
(Don't Fear) The Reaper,Blue Ã–yster Cult,1976,0.21,0.92,0.34,0,0.93,0,0.82,0.29,0.7,0.13,0.65,4,0.39,Old Rock
Come Together - Remastered 2009,The Beatles,1969,0.17,0.93,0.54,0.03,0.37,0.25,0.82,0.08,0.6,0.07,0.76,4,0.19,Old Rock
Jumpinâ€™ Jack Flash - Live,The Rolling Stones,2020,0.27,0.37,0.16,0.01,0.98,0.57,0.36,0.96,0.82,0.19,0.65,4,0.23,Modern Rock
Time,Pink Floyd,1973,0.28,0.83,0.36,0.52,0.48,0,0.82,0.17,0.61,0.15,0.55,4,0.36,Old Rock
Should I Stay or Should I Go - Remastered,The Clash,1982,0.12,0.94,0.75,0.08,0.83,0,0.18,0.38,0.76,0.21,0.52,4,0.82,Sweet Rock
Mr. Brightside,The Killers,2004,0.15,0.9,0.36,0,0.93,0,0.09,0.08,0.84,0.15,0.68,4,0.23,Modern Rock
Beautiful Day,U2,2000,0.16,0.76,0.55,0.01,0.93,0,0.18,0.35,0.76,0.09,0.63,4,0.46,Sweet Rock
House Of The Rising Sun,The Animals,1964,0.18,0.83,0.3,0,0.58,0.22,0.82,0.09,0.75,0.06,0.54,3,0.23,Old Rock
Lola - Coca Cola Version,The Kinks,1970,0.16,0.83,0.48,0.58,0.92,0.23,0.82,0.19,0.82,0.07,0.7,4,0.91,Old Rock
Loser,Beck,1994,0.16,0.83,0.66,0.03,0.61,0,0.18,0.4,0.64,0.22,0.39,4,0.79,Sweet Rock
Killing In The Name,Rage Against The Machine,1992,0.21,0.93,0.47,0.03,0.83,0,0.64,0.02,0.82,0.55,0.41,4,0.67,Sweet Rock
All My Life,Foo Fighters,2002,0.18,0.01,0.59,0,0.59,0,0.45,0.49,0.78,0.09,0.77,4,0.63,Modern Rock
Walk This Way,Aerosmith,1975,0.15,0.89,0.66,0.01,0.73,0,0.45,0.06,0.64,0.08,0.5,4,0.9,Old Rock
Sultans of Swing,Dire Straits,1978,0.24,0.8,0.74,0.06,0.87,0.07,0.45,0.31,0.73,0.05,0.68,4,0.93,Old Rock
We Will Rock You - Remastered,Queen,1977,0.08,0.82,0.7,0.68,0.5,0,0.18,0.25,0.73,0.22,0.37,4,0.48,Old Rock
Song 2 - 2012 Remaster,Blur,1997,0.08,0.9,0.68,0,0.79,0.01,0.73,0.06,0.75,0.12,0.6,4,0.93,Sweet Rock
Love Will Tear Us Apart - 2010 Remaster,Joy Division,2010,0.14,0.71,0.53,0,0.9,0.7,0.18,0.13,0.7,0.07,0.67,4,0.92,Modern Rock
Where The Streets Have No Name - Remastered,U2,1987,0.23,0.79,0.5,0.01,0.72,0,0.18,0.15,0.67,0.07,0.58,4,0.29,Sweet Rock
In the End,Linkin Park,2000,0.14,1,0.56,0.01,0.87,0,0.27,0.2,0.78,0.11,0.48,4,0.4,Sweet Rock
Good Vibrations - Remastered,The Beach Boys,1967,0.15,0.83,0.4,0.33,0.47,0,0.91,0.1,0.72,0.06,0.61,4,0.39,Old Rock
All Right Now,Free,1970,0.22,0.83,0.8,0.22,0.47,0,0.18,0.14,0.58,0.15,0.55,4,0.83,Old Rock
Changes - 2015 Remaster,David Bowie,1971,0.14,0.77,0.55,0.51,0.31,0,0,0.1,0.61,0.07,0.53,4,0.41,Old Rock
Paradise City,Guns N' Roses,1987,0.28,0.01,0.28,0.02,0.95,0.01,1,0.21,0.7,0.16,0.46,4,0.5,Sweet Rock
One (Remastered),Metallica,1988,0.3,0.8,0.44,0,0.69,0.08,0.64,0.41,0.68,0.11,0.47,3,0.43,Sweet Rock
Hey Joe,Jimi Hendrix,1967,0.14,0.85,0.35,0.01,0.77,0.38,0.82,0.01,0.78,0.07,0.78,4,0.54,Old Rock
Sunshine Of Your Love,Cream,2004,0.17,0.85,0.69,0.39,0.59,0,0.18,0.11,0.71,0.06,0.53,4,0.74,Modern Rock
Give It Away,Red Hot Chili Peppers,1991,0.19,0.87,0.67,0,0.94,0.09,0.64,0.14,0.66,0.09,0.42,4,0.78,Sweet Rock
Take Me Out,Franz Ferdinand,2004,0.16,0.88,0.28,0,0.68,0,0.82,0.13,0.69,0.07,0.48,4,0.5,Modern Rock
Sweet Home Alabama,Lynyrd Skynyrd,1974,0.19,0.98,0.6,0.18,0.6,0,0.64,0.08,0.6,0.05,0.45,4,0.89,Old Rock
Highway to Hell,AC/DC,1979,0.14,1,0.58,0.06,0.91,0,0.55,0.15,0.81,0.24,0.53,4,0.43,Old Rock
L.A. Woman,The Doors,1971,0.32,0.8,0.36,0.08,0.73,0,0.18,0.1,0.68,0.07,0.78,4,0.71,Old Rock
American Idiot,Green Day,2004,0.12,0.94,0.39,0,0.99,0,0.09,0.36,0.89,0.12,0.85,4,0.78,Modern Rock
Black Hole Sun,Soundgarden,1994,0.22,0.9,0.35,0,0.83,0,0.55,0.07,0.79,0.07,0.48,4,0.15,Sweet Rock
Maggie May,Rod Stewart,1971,0.24,0.86,0.61,0.56,0.57,0.11,0.18,0.06,0.64,0.07,0.59,4,0.55,Old Rock
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,1987,0.17,0.82,0.39,0.03,0.9,0,0.64,0.01,0.7,0.07,0.94,4,0.81,Sweet Rock
Once in a Lifetime - 2005 Remaster,Talking Heads,1980,0.17,0.85,0.65,0.18,0.92,0.13,0.18,0.62,0.76,0.1,0.54,4,0.88,Old Rock
Strawberry Fields Forever - Remastered 2009,The Beatles,1967,0.17,0.83,0.4,0.34,0.5,0,0.91,0.06,0.59,0.32,0.45,4,0.29,Old Rock
Riders on the Storm,The Doors,1971,0.3,0.88,0.56,0.25,0.72,0.01,1,0.1,0.61,0.05,0.48,4,0.72,Old Rock
Thunderstruck,AC/DC,1990,0.2,0.98,0.51,0,0.89,0.01,0.36,0.21,0.8,0.07,0.61,4,0.26,Sweet Rock
Wonderwall - Remastered,Oasis,1995,0.17,0.48,0.38,0,0.87,0,0.18,0.22,0.8,0.07,0.8,4,0.48,Sweet Rock
Good Riddance (Time of Your Life),Green Day,1997,0.1,0.89,0.48,0.18,0.43,0,0.64,0.15,0.72,0.05,0.43,4,0.65,Sweet Rock
The Boys Are Back In Town,Thin Lizzy,1976,0.18,0.88,0.45,0.24,0.71,0,0.73,0.2,0.66,0.08,0.37,4,0.78,Old Rock
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,1994,0.13,0.86,0.22,0,0.93,0.01,0.82,0.12,0.73,0.08,0.78,4,0.49,Sweet Rock
Start Me Up - Remastered,The Rolling Stones,1981,0.14,0.9,0.64,0.04,0.93,0.14,0.45,0.08,0.83,0.06,0.56,4,0.98,Old Rock
Blitzkrieg Bop - 2016 Remaster,Ramones,1976,0.09,0.85,0.39,0,0.78,0.47,0.82,0.1,0.87,0.42,0.81,4,0.91,Old Rock
Fight For Your Right,Beastie Boys,1986,0.14,0.82,0.51,0.01,0.86,0,0.73,0.07,0.76,0.12,0.61,5,0.42,Sweet Rock
The One I Love - Remastered,R.E.M.,1987,0.13,0.76,0.49,0,0.84,0,0.18,0.34,0.81,0.06,0.59,4,0.56,Sweet Rock
Walk On the Wild Side,Lou Reed,1972,0.17,0.89,0.58,0.69,0.32,0,0,0.08,0.46,0.2,0.48,4,0.39,Old Rock
Under Pressure - (Tribute to Queen & David Bowie),Studio Allstars,2009,0.15,0,0.83,0.13,0.54,0.08,0.18,0.06,0.61,0.06,0.53,4,0.6,Modern Rock
Yellow,Coldplay,2000,0.18,1,0.43,0,0.66,0,1,0.22,0.74,0.05,0.8,4,0.29,Sweet Rock
Ramble On - 1990 Remaster,Led Zeppelin,1969,0.18,0.83,0.47,0.07,0.61,0,0.82,0.22,0.62,0.06,0.45,4,0.89,Old Rock
We Are The Champions - Remastered 2011,Queen,1977,0.12,0.76,0.27,0.38,0.46,0,0.64,0.11,0.74,0.06,0.29,4,0.17,Old Rock
Go Your Own Way - 2004 Remaster,Fleetwood Mac,1977,0.15,0.89,0.59,0.02,0.94,0,0.45,0.06,0.8,0.07,0.62,4,0.84,Old Rock
Numb,Linkin Park,2003,0.12,0.98,0.5,0,0.86,0,0.82,0.64,0.82,0.07,0.5,4,0.25,Modern Rock
Blue Monday - 2016 Remaster,New Order,2005,0.31,0.82,0.8,0,0.7,0.89,0,0.06,0.67,0.11,0.6,4,0.86,Modern Rock
While My Guitar Gently Weeps - Third Version / Take 27,The Beatles,2018,0.13,0.37,0.55,0.24,0.51,0.02,0.36,0.58,0.66,0.06,0.52,4,0.77,Modern Rock
I Love Rock 'N Roll,Joan Jett & The Blackhearts,1981,0.12,0.87,0.54,0.33,0.72,0,0.36,0.66,0.8,0.08,0.43,4,0.91,Old Rock
White Room,Cream,1968,0.2,0.86,0.56,0.19,0.58,0.01,0,0.02,0.56,0.06,0.5,4,0.46,Old Rock
How You Remind Me,Nickelback,2001,0.15,0.93,0.45,0,0.76,0,0.91,0.09,0.8,0.06,0.79,4,0.55,Sweet Rock
Space Oddity - 2015 Remaster,David Bowie,1969,0.22,0.87,0.3,0.08,0.44,0,0,0.17,0.58,0.06,0.64,4,0.44,Old Rock
The Weight - Remastered,The Band,1968,0.18,0.87,0.64,0.37,0.55,0,0.82,0.09,0.68,0.1,0.66,4,0.52,Old Rock
Sledgehammer - 2012 Remaster,Peter Gabriel,1986,0.21,0.68,0.65,0.04,0.68,0,0.73,0.03,0.73,0.07,0.44,4,0.47,Sweet Rock
Mysterious Ways,U2,1991,0.16,0.73,0.68,0,0.66,0.01,0.73,0.1,0.71,0.05,0.46,4,0.7,Sweet Rock
Bring Me To Life,Evanescence,2003,0.16,0.95,0.34,0.01,0.94,0,0.36,0.23,0.85,0.13,0.43,4,0.3,Modern Rock
You Really Got Me - Mono Mix,The Kinks,1964,0.09,0.85,0.58,0.5,0.94,0,0.73,0.09,0.76,0.15,0.63,4,0.97,Old Rock
Been Caught Stealing,Jane's Addiction,1990,0.14,0.69,0.65,0,0.93,0.05,0,0.23,0.81,0.39,0.48,4,0.69,Sweet Rock
Plush - 2017 Remaster,Stone Temple Pilots,1992,0.21,0.74,0.43,0.01,0.94,0,0.64,0.13,0.79,0.08,0.66,4,0.47,Sweet Rock
Rock the Casbah - Remastered,The Clash,1982,0.15,0.86,0.81,0.29,0.87,0,0.82,0.28,0.75,0.1,0.6,4,0.87,Sweet Rock
Foxey Lady,Jimi Hendrix,1997,0.13,0.55,0.5,0.06,0.84,0.26,0.36,0.4,0.77,0.07,0.45,4,0.56,Sweet Rock
Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,1975,0.56,0.79,0.27,0.77,0.29,0.7,0.64,0.1,0.6,0.05,0.63,3,0.04,Old Rock
Livin' On A Prayer,Bon Jovi,1986,0.17,0.02,0.54,0.08,0.89,0,0,0.32,0.84,0.06,0.56,4,0.73,Sweet Rock
Me and Bobby McGee,Janis Joplin,1971,0.18,0.86,0.46,0.3,0.46,0,0.18,0.14,0.63,0.08,0.43,4,0.66,Old Rock
Who Are You,The Who,1978,0.26,0.82,0.66,0.26,0.65,0,0.82,0.05,0.62,0.09,0.72,4,0.49,Old Rock
Brown Sugar - 2009 Mix,The Rolling Stones,1971,0.15,0.82,0.64,0.22,0.94,0,0,0.05,0.84,0.06,0.59,4,0.97,Old Rock
Black,Pearl Jam,1991,0.23,0.88,0.36,0.32,0.68,0,0.36,0.33,0.76,0.06,0.35,4,0.2,Sweet Rock
Lust For Life,Iggy Pop,1977,0.21,0.8,0.39,0.03,0.97,0,0.82,0.08,0.78,0.08,0.47,4,0.63,Old Rock
Carry on Wayward Son,Kansas,1976,0.22,0.89,0.49,0,0.79,0,0.64,0.44,0.78,0.06,0.58,4,0.8,Old Rock
Rock And Roll All Nite,KISS,1975,0.11,0.89,0.66,0.05,0.93,0,0.09,0.04,0.77,0.18,0.66,4,0.91,Old Rock
American Pie,Don McLean,1971,0.35,0.89,0.54,0.7,0.48,0,0.36,0.07,0.61,0.11,0.64,4,0.5,Old Rock
Cocaine,Eric Clapton,1977,0.15,0.8,0.71,0.06,0.5,0.03,0.82,0.31,0.58,0.05,0.48,4,0.68,Old Rock
Runnin' with the Devil - 2015 Remaster,Van Halen,1978,0.14,0.86,0.48,0.15,0.9,0,0.73,0.33,0.76,0.11,0.44,4,0.42,Old Rock
Honky Tonk Women - Live,The Rolling Stones,2020,0.2,0.42,0.37,0.01,0.99,0,0.64,0.96,0.82,0.21,0.55,4,0.35,Modern Rock
Clocks,Coldplay,2002,0.21,0.92,0.58,0.6,0.75,0.01,0.45,0.17,0.74,0.05,0.6,4,0.26,Modern Rock
Best of You,Foo Fighters,2005,0.17,0.9,0.37,0,0.94,0,0.09,0.18,0.8,0.13,0.6,4,0.37,Modern Rock
Ziggy Stardust - 2012 Remaster,David Bowie,1972,0.13,0.76,0.45,0.05,0.56,0,0.64,0.2,0.61,0.22,0.74,4,0.5,Old Rock
By the Way,Red Hot Chili Peppers,2002,0.14,0.87,0.46,0.03,0.97,0,0,0.09,0.8,0.19,0.56,4,0.2,Modern Rock
Paranoid Android,Radiohead,1997,0.26,0.8,0.26,0.04,0.85,0.01,0.45,0.04,0.76,0.11,0.75,4,0.2,Sweet Rock
Personal Jesus - Single Version,Depeche Mode,1998,0.15,0.83,0.68,0.09,0.9,0.02,1,0.04,0.84,0.08,0.6,4,0.8,Sweet Rock
In Bloom - Nevermind Version,Nirvana,1991,0.17,0.77,0.44,0,0.88,0,0.91,0.2,0.8,0.12,0.72,4,0.52,Sweet Rock
Dirty Deeds Done Dirt Cheap,AC/DC,1976,0.15,0.88,0.68,0.22,0.91,0,1,0.12,0.8,0.31,0.62,4,0.51,Old Rock
Karma Police,Radiohead,1997,0.18,0.88,0.36,0.06,0.5,0,0.64,0.16,0.68,0.05,0.34,4,0.32,Sweet Rock
Revolution - Remastered 2009,The Beatles,1973,0.14,0.79,0.41,0.07,0.84,0,0.55,0.23,0.68,0.38,0.56,4,0.72,Old Rock
Free Fallin',Tom Petty,1989,0.17,0.93,0.63,0.21,0.45,0,0.45,0.05,0.56,0.05,0.39,4,0.58,Sweet Rock
Something - Remastered 2009,The Beatles,1969,0.12,0.85,0.4,0.2,0.34,0,0,0.13,0.63,0.06,0.61,4,0.38,Old Rock
How Soon Is Now? - 2011 Remaster,The Smiths,1984,0.28,0.83,0.4,0,0.93,0.12,1,0.08,0.75,0.11,0.88,4,0.73,Sweet Rock
A Whiter Shade of Pale - Original Single Version,Procol Harum,1967,0.17,0.56,0.25,0.51,0.66,0,0,0.08,0.75,0.06,0.69,4,0.44,Old Rock
Buddy Holly,Various Artists,2020,0.11,0.05,0.53,0,0.91,0,0.73,0.04,0.85,0.07,0.56,4,0.83,Modern Rock
Black Magic Woman - Single Version,Santana,1969,0.13,0.8,0.5,0.68,0.35,0.08,0.18,0.08,0.53,0.06,0.57,4,0.63,Old Rock
Boulevard of Broken Dreams,Green Day,2017,0.18,0.89,0.5,0.01,0.68,0,0.73,0.05,0.83,0.05,0.77,4,0.48,Modern Rock
Bang A Gong (Get It On) (Electric Version),T. Rex,2010,0.19,0.52,0.8,0.45,0.75,0,0.82,0.09,0.75,0.06,0.56,4,0.85,Modern Rock
Wild Horses - 2009 Mix,The Rolling Stones,1971,0.23,0.86,0.44,0.69,0.39,0.01,0.64,0.07,0.76,0.05,0.64,4,0.16,Old Rock
Another One Bites The Dust - Remastered 2011,Queen,1980,0.14,0.87,0.95,0.11,0.53,0.33,0.45,0.15,0.76,0.29,0.5,4,0.76,Old Rock
Lithium,Nirvana,1991,0.17,0.81,0.69,0,0.66,0,0.64,0.05,0.76,0.07,0.57,4,0.49,Sweet Rock
Yesterday - Remastered 2009,The Beatles,1965,0.08,0.92,0.34,0.88,0.18,0,0.45,0.08,0.6,0.06,0.44,4,0.32,Old Rock
When I Come Around,Green Day,1994,0.12,0.88,0.54,0.02,0.91,0,1,0.22,0.82,0.06,0.45,4,0.82,Sweet Rock
Sex on Fire,Kings of Leon,2008,0.13,0.95,0.55,0,0.91,0.01,0.82,0.13,0.78,0.1,0.7,4,0.38,Modern Rock
Heart of Gold - 2009 Remaster,Neil Young,1972,0.12,0.87,0.55,0.19,0.46,0.03,0.36,0.09,0.64,0.05,0.79,4,0.81,Old Rock
Hey Ya! - Radio Mix,OutKast,2003,0.16,0.93,0.74,0.1,0.98,0,0.36,0.16,0.88,0.12,0.36,4,0.97,Modern Rock
Superstition - Single Version,Stevie Wonder,2002,0.16,0,0.65,0.04,0.63,0.01,0.91,0.02,0.6,0.14,0.46,4,0.9,Modern Rock
Hells Bells,AC/DC,1980,0.21,0.89,0.39,0.01,0.87,0.01,0.36,0.26,0.81,0.09,0.49,4,0.31,Old Rock
Eleanor Rigby - Remastered 2009,The Beatles,1966,0.08,0.82,0.59,0.94,0.28,0,0.36,0.3,0.68,0.07,0.63,4,0.82,Old Rock
No One Knows,Queens of the Stone Age,2002,0.19,0.77,0.51,0.04,0.59,0,0,0.37,0.8,0.12,0.78,4,0.64,Modern Rock
Ace of Spades,MotÃ¶rhead,1980,0.11,0.88,0.33,0,0.98,0,0.27,0.08,0.69,0.25,0.65,4,0.24,Old Rock
A Hard Day's Night - Remastered 2009,The Beatles,1964,0.1,0.8,0.6,0.14,0.81,0,0,0.09,0.76,0.07,0.64,4,0.81,Old Rock
Tom Sawyer,Rush,1981,0.19,0.86,0.54,0,0.9,0.02,0.82,0.05,0.74,0.07,0.4,4,0.67,Old Rock
Fortunate Son,Creedence Clearwater Revival,1969,0.09,0.96,0.65,0.2,0.66,0.01,0,0.14,0.73,0.07,0.61,4,0.67,Old Rock
